GRID NAME,HUKI + ADOPT CLEARANCE DATES,AA before huki,AS before huki,GS before huki,Total Other (O+) before huki,O before huki,BRY before huki,BS before huki,C before huki,CE  before huki,CH before huki,CLA before huki, DC before huki,DA before huki,DF before huki,DS before huki,Total Dictyota before huki,GC before huki, GP before huki, GR before huki,HAL/HD before huki,HH before huki,HYD before huki,HC before huki,HM before huki,LM before huki,P before huki,SF before huki,ROCK COUNT  (0 cm),SAND COUNT,SAND DEPTH MEAN cm,SEDIMENT DEPTH MEAN m+s  cm,date assess,AA  after huki,AS  after huki,GS  after huki,Total IAA  after huki,Other (O+) after huki,O 0yr,BRY 0yr,BS 0yr,CR 0yr,C 0yr,CE 0yr,CH 0yr,CLA 0yr,DC 0yr,DA  oyr,DF  0yr,DS  0yr,DICT sp?  0yr,total Dctyota 0yr,GC 0yr,GP 0yr,GR 0yr,HAL 0yr,HH 0yr,HYD 0yr,HC 0yr,HM 0yr,LC  0yr,LM 0yr,LN 0yr,P   0yr,SF 0yr,clumps,intersects,ROCK COUNT  (0 cm),SAND COUNT,MUD COUNT,SAND DEPTH MEAN cm,MUD DEPTH MEAN cm,count r+s+m,sum depth s+m cm,SEDIMENT DEPTH MEAN m+s  cm
8050 3224,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8050 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2770,9/27/16,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/16/16,5,1,0,6,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2819,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2828,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2838,10/16/16,18,10,2,28,28,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/16/16,8,1,0,9,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2848,,4,2,0,5,3,,,,,,,,,,,0,,,,,,,,,,,2,7,60,2.60,3.24,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2857,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2906,,8,35,26,89,1,,,54,,,,,,,,0,,,,2,,,,,29,,3,10,11,3.82,3.82,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2915,7/3/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/3/13,6,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2915,11/1/18,13,14,7,21,12,,,1,,,,,,,,0,,,,1,,,,,,,7,14,57,2.44,2.44,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2925,8/1/18,12,36,32,85,20,,,33,,,,4,,,,0,,,,16,,,,,,,12,14,21,2.10,2.10,8/1/18,10,24,30,64,47,12,,,,21,,,,4,,,,,0,,,,7,,,,,,,,,3,,,17,35,,1.51,,52,53.0,1.51
8059 2935,1/5/19,31,11,15,113,19,,1,65,,,,,,,,0,,1,,9,,,,,11,,6,7,9,1.78,1.78,1/5/19,29,14,26,69,92,9,,,,66,,,,,,,,,0,,3,,7,,,,,,1,,,6,,,15,13,,2.00,,28,26.0,2.00
8059 2935,4/11/19,21,14,14,101,,,,41,,29,,,5,,,5,,4,,3,,,,,,1,18,27,5,3.00,3.00,4/11/19,14,11,12,37,57,,,,,13,,21,,,4,,,,4,,1,,4,,,,,,,,3,11,,,53,7,,2.57,,60,18.0,2.57
8059 2935,10/6/17,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/6/17,34,45,6,85,43,43,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2944,4/11/19,28,27,35,116,,,,50,,28,,,6,,,6,,,,10,,,,,,,22,7,5,4.00,4.00,4/11/19,15,17,23,55,90,,,,,37,,31,,,,,,,0,,1,,10,,,,,,,,2,9,,,37,4,,3.00,,41,12.0,3.00
8059 2954,6/21/16,23,9,13,55,55,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/21/16,20,2,3,25,22,22,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2964,2/6/16,64,6,0,61,61,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,17,1,3,21,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2973,2/6/16,39,4,6,23,23,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,18,3,4,25,10,10,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2983,10/7/17,26,63,7,36,36,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/7/17,15,21,2,38,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 2993,11/24/18,12,48,7,14,14,,,,,,,,,,,0,,,,,,,,,,,,30,8,1.75,1.75,11/24/18,14,33,9,56,32,3,,,,10,,,,1,,,,,0,,,,2,,,,,,15,1,,,,,36,13,,1.54,,49,20.0,1.54
8059 3002,,4,19,0,26,1,,,,,8,,4,,,,0,,,,11,,,,,,2,,52,24,2.08,2.08,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3012,,4,3,3,4,,,,,,4,,,,,,0,,,,,,,,,,,,51,51,3.10,3.10,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3021,,5,9,15,6,3,,,1,,,,,,,,0,,,,2,,,,,,,,50,30,1.57,1.57,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3031,11/4/17,37,80,27,64,64,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,11/4/17,10,27,5,42,18,18,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3041,7/20/16,17,46,25,93,93,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/20/16,29,34,19,82,54,54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3050,,10,1,7,40,10,,,,,,,,,,,0,,,,30,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3060,2/27/16,42,11,4,23,23,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/27/16,27,3,3,33,20,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3070,2/27/16,27,2,0,32,32,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,2/27/16,17,2,0,19,19,19,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8059 3079,4/3/18,30,13,1,43,8,,,6,,,,3,,,,0,,,,22,,,2,,,,,29,15,1.93,1.93,4/3/18,14,8,0,22,69,4,,,,1,,,,1,,,,,0,,,,59,,,,,,3,1,,,,,,7,,2.57,,7,18.0,2.57
8059 3224,4/4/19,3,3,7,43,,,,26,,11,,,,,,1,,,,4,,,,,,,1,5,54,4.54,4.54,4/4/19,15,1,15,31,44,,,,,21,,20,,,,,,1,1,,,,2,,,,,,,,,,,,29,22,,3.82,,51,84.0,3.82
8059 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2780,3/27/21,6,33,2,3,1,,,,,,,1,,,,0,,,,,,,,,,,1,29,46,3.15,3.15,3/27/21,1,15,0,16,3,,,,,,,,,,,,,,0,,,,,,,,,,2,,,1,,,53,22,,2.23,,75,49.0,2.23
8068 2790,3/27/21,6,18,1,5,1,,,,,4,,,,,,0,,,,,,,,,,,,44,34,2.56,2.56,3/27/21,1,18,0,19,10,7,,,,,,,,,,,,,0,,,,,,,,,,,,,3,,,22,43,,3.30,,65,142.0,3.30
8068 2799,3/27/21,4,19,3,7,2,,,,,3,,,,,,0,,,,,,,,,,,2,34,37,3.16,3.16,3/27/21,2,3,0,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,36,60,,2.35,,96,141.0,2.35
8068 2828,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2838,10/16/16,47,28,3,23,23,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/16/18,2,0,0,2,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2848,10/16/16,36,8,3,25,25,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/16/18,4,1,0,5,2,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2857,4/1/16,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,4/1/16,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2867,,9,4,0,17,6,,,1,,,,1,,,,0,,,,3,,,,,6,,,4,80,4.18,4.18,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2877,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2886,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2896,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2906,9/9/17,24,77,19,139,139,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/9/17,8,23,8,39,12,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2915,9/9/17,19,81,21,156,156,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/9/17,3,18,4,25,19,19,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2925,9/9/17,10,41,3,57,57,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/9/17,5,12,5,22,35,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2935,1/5/19,23,9,13,45,,,,31,,,,,,,,1,,,,0,,,0,,,,13,16,8,1.63,1.63,1/5/19,6,8,15,29,35,,,,,15,,,,,,,,,0,,,,2,,,,,,,,,18,,,30,6,,1.33,,36,8.0,1.33
8068 2944,1/5/19,9,2,9,33,3,,,21,,,,,,,,0,,1,,2,,,0,,,0,6,25,27,2.30,2.57,1/5/19,5,5,11,21,28,0,,,,17,,,,,,,,,0,,,,1,,,,,,,,,10,,,35,30,3,2.40,2.33,68,79.0,2.39
8068 2954,6/21/16,34,10,8,83,83,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/21/16,18,5,6,29,36,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2964,12/7/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/7/13,19,,,19,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2973,12/7/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/7/13,2,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2983,10/7/17,38,91,14,26,26,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/7/17,19,37,4,60,12,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 2993,10/7/17,42,85,10,21,21,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/7/17,13,46,5,64,5,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3002,6/2/18,18,47,4,11,2,,,,,,,1,,,,0,,,,,,,,,1,,7,21,23,1.61,1.59,6/11/16,2,18,8,28,3,2,,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,28,39,,1.46,,67,57.0,1.46
8068 3012,6/2/18,30,51,18,19,5,,,1,,,,2,,,,0,,,,,,,6,,,5,,16,19,1.58,1.58,6/2/18,14,24,6,44,1,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29,38,,1.34,,67,51.0,1.34
8068 3021,9/26/15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/26/15,19,,,19,11,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3031,11/4/17,40,88,22,60,60,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,11/4/17,22,57,17,96,20,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3041,7/20/16,19,42,42,98,98,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/20/16,21,15,42,78,55,55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3060,4/7/18,47,31,11,50,12,,,13,,,,6,,,,0,,,,16,,,3,,,,,28,12,1.42,1.42,4/7/18,22,18,3,43,36,15,,,,5,,,,4,,,,,0,,,,11,,,,,,,1,,,,,24,40,,1.95,,64,78.0,1.95
8068 3070,4/7/18,34,35,4,90,34,,,18,,,,20,,,,0,,,,10,,,8,,,,,20,23,1.83,1.83,4/7/18,15,8,3,26,22,9,,,,4,,,,3,,,,,0,,,,6,,,,,,,,,,,,42,24,,1.75,,66,42.0,1.75
8068 3079,,30,12,0,53,24,,,7,,,,7,,,,0,,,,15,,,,,,,,29,28,2.71,2.71,6/16/18,17,31,4,52,9,2,,,,,,,,,,,,,0,,1,,1,,,,,,,,,5,,,36,20,,1.00,,56,20.0,1.00
8068 3089,,24,21,13,62,28,,,,,,,5,,,,0,,,,18,,,7,,,,2,27,12,3.75,3.75,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3099,4/5/18,23,20,14,58,22,,,,1,,,5,,,,0,,,,13,,,3,,6,,,,,,n/a,4/5/18,23,20,14,57,14,,,,,,1,,,,,,,,0,,,,13,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3108,,4,1,0,11,4,,,,,3,,2,,,,0,,,,,,,,,,,,89,14,1.36,1.36,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3157,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8068 3215,4/13/19,5,1,0,11,,,,7,,,,,,,,0,,,,,,,,,,,4,19,,,n/a,4/13/19,0,0,0,,3,,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,35,,,,,35,0.0,n/a
8068 3224,4/13/19,16,0,3,,,,,,,,,,,,,0,,,,,,,,,,,,70,,,n/a,4/13/19,0,0,0,,1,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,92,,,,,92,0.0,n/a
8068 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2780,3/27/21,1,23,0,4,,,,,,,,,,,,0,,,,,,,,,3,,1,49,11,3.45,3.45,3/27/21,3,2,0,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,60,38,,3.00,,98,114.0,3.00
8077 2828,,1,1,0,3,1,,,,,,,,,,,0,,,,,,,,,,,2,7,57,1.95,3.51,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2838,10/16/16,39,24,10,38,38,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/16/16,7,3,0,10,3,3,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2848,8/16/16,36,42,12,4,4,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,8/16/16,7,1,1,9,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2857,4/12/16,58,6,11,47,47,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,4/12/16,41,1,12,54,19,19,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2857,10/27/21,1,14,1,82,,,,20,,1,,,,1,,1,,,,3,,,,,57,,,9,18,1.61,1.61,10/27/21,0,2,0,2,71,,,,,22,,,,,,,,,0,,,,2,,,,,,47,,,,,,18,29,,2.66,,47,77.0,2.66
8077 2857,,3,11,10,35,,,,14,,14,,,,,,0,,1,,,,,,,4,1,1,30,32,1.72,1.72,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2867,,1,31,15,84,,,3,24,,10,,,,,,5,,,,,,,,,27,,13,12,34,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2877,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2886,5/17/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,5/17/13,6,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2896,8/1/18,17,22,38,42,23,,,15,,,,,,,,0,,,,1,,,,,,,3,17,29,2.03,2.03,8/1/18,8,19,33,60,18,2,,,,9,,,,,,,,,0,,,,1,,,,,,,,,6,,,27,25,,1.76,,52,44.0,1.76
8077 2906,6/11/16,21,36,26,64,64,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/11/16,16,17,15,48,18,18,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2915,6/22/16,28,11,10,28,28,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/22/16,17,5,14,36,28,28,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2925,1/11/21,9,4,3,46,,,,7,,4,,,,,,0,,,,19,,,,,8,,8,25,27,1.78,1.78,1/11/21,11,10,6,27,45,,,,,16,,3,,,,,,,0,2,,,19,,,,,,2,,1,2,,,39,11,,1.36,,50,15.0,1.36
8077 2925,7/11/17,16,43,8,61,61,,,MAKE NO FURTHER ENTRIES THIS ROW,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/11/17,9,4,2,15,21,21,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2935,7/11/17,14,28,5,36,36,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/11/17,22,40,14,76,40,40,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2944,,6,22,9,19,5,,,1,,,,2,,,,0,,,,,,,,,,1,10,16,12,2.17,2.11,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2954,6/21/16,36,23,5,54,54,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/21/06,15,15,3,33,37,37,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2964,12/7/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/7/13,2,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2973,12/7/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/7/13,5,,,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 2983,6/17/16,45,63,13,85,85,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/17/16,17,7,1,25,12,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3002,6/24/17,17,81,11,124,124,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/24/17,9,30,19,58,38,38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3012,6/24/17,23,75,7,68,68,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,6/24/17,2,8,1,11,6,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3021,9/26/15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/26/15,29,,,29,5,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3031,9/26/15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/26/15,22.5,,,23,8.5,8.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3041,9/26/15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/26/15,18,,,18,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3050,9/26/15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,9/26/15,19,,,19,8,8,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3060,12/2/17,65,58,34,147,147,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/2/17,18,20,6,44,51,51,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3070,12/2/17,43,57,20,85,85,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,12/2/17,21,36,17,74,77,77,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3079,,28,15,12,19,17,,,1,,,,,,,,0,,,,1,,,,,,,,17,41,3.21,3.21,6/16/18,10,12,2,24,6,2,,,,,,,,,,,,,0,,,,,,,2,,,,,,2,,,48,32,,1.75,,80,56.0,1.75
8077 3089,4/28/18,23,11,4,29,0,,,2,,,,23,,,,0,,,,0,,,,,,1,3,45,21,3.67,3.67,4/28/18,8,6,4,18,4,,,,,,,,,,,,,,0,,,,,,,,,,,,,4,,,48,36,,2.61,,84,94.0,2.61
8077 3099,7/28/18,10,26,23,15,0,,,2,,,,1,,,,0,,,,0,,,,,,,12,37,14,2.21,2.21,7/28/18,12,20,8,40,4,1,,,,2,,,,,,,,,0,,,,1,,,,,,,,,,,,60,12,,1.17,,72,14.0,1.17
8077 3108,,5,6,1,8,3,,,,,1,,,,,,0,,,,,,,,,,,1,69,14,1.29,1.29,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3147,10/10/15,32,28,3,37,37,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/10/15,21,14,0,35,21,21,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3157,10/10/15,28,22,6,15,15,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,10/10/15,15,13,4,32,6,6,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3215,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3224,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8077 3234,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2761,3/25/16,17,0,0,12,12,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,3/26/16,15,2,0,17,7,7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2809,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2828,7/16/16,48,39,3,65,65,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/16/16,12,4,0,16,5,5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2838,3/15/21,2,18,0,7,,,,,,2,,,,,,0,,,,3,,,,,,1,1,24,44,2.55,2.55,3/15/21,0,0,0,0,6,,,,,,,,,1,,,,,0,,,,,,,,,,,1,1,3,,,19,72,,2.89,,91,208.0,2.89
8086 2838,7/16/16,26,20,2,38,38,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/16/16,11,7,3,21,9,9,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2848,8/16/16,37,43,8,1,1,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,8/16/16,11,4,1,16,4,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2857,4/12/16,72,21,10,74,74,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,4/12/16,17,3,3,23,11,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2867,3/25/17,35,47,23,90,90,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,3/25/17,31,35,26,92,63,63,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2877,3/25/17,35,68,39,63,63,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,3/25/17,12,13,13,38,16,16,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2886,5/17/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/1/13,5,,,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2896,5/17/13,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,n/a,7/1/13,6,,,6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,n/a
8086 2896,9/28/19,11,42,20,31,,,,6,,,,1,,,,6,,,,2,,,,,,,16,16,32,2.69,2.69,9/28/19,4,4,4,12,4,,,,,3,,,,,,,,,0,,,,,,,,,,,,,1,,,59,28,,1.93,,87,54.0,1.93
